gid;fecha;codigo;code;elevacion;orientacion;dist2road;x;y
348;2004;100;323;349.06211;162.1653;655.5454366;753666.1249;4441844.587
349;2004;100;242;376.17871;65.14779;119.2484209;758312.0923;4443414.77
350;2004;100;243;285.55045;47.87956;44.26586295;751835.4293;4450315.606
351;2004;100;324;798.84277;142.985;49.41558085;719012.9456;4429218.065
352;2004;100;312;840.8348;215.77489;62.258678;722588.4056;4453423.49
353;2004;290;323;241.21894;183.82363;163.4736145;745173.0109;4435693.536
354;2004;400;222;905.19365;218.61059;189.9517954;744315.0828;4473469.272
355;2004;100;312;1000.83868;200.58673;408.5665294;753535.0322;4509693.942
356;2004;400;222;354.11616;239.41363;54.19110624;761580.913;4450116.852
357;2004;500;242;273.71202;148.61775;135.9358643;725060.5234;4412660.769
358;2004;290;323;1024.56385;107.52967;487.9719749;743604.2086;4471388.56
359;2004;296;241;703.9897;30.93313;310.3320753;703349.7908;4425271.989
360;2004;500;312;995.94265;133.44537;147.9225974;717675.4965;4453282.335
361;2004;290;323;649.39875;119.24841;499.1906762;752850.8338;4472869.568
362;2004;500;321;1019.39673;89.98468;130.7972162;736798.5969;4488409.702
363;2004;100;334;766.06363;136.58988;453.660133;739522.4892;4519061.687
364;2004;100;323;475.58556;155.48529;1220.668762;738958.0112;4463951.126
365;2004;100;323;586.38539;187.61248;1140.479526;742142.9128;4463013.094
366;2004;100;324;1197.74991;52.75639;158.6538269;724974.7152;4464878.93
367;2004;100;324;1136.24954;141.02743;21.21689794;753721.4799;4505189.331
368;2004;100;312;669.27887;192.58503;85.42262796;738034.379;4514275.287
369;2004;100;313;1078.76103;287.02998;541.5845939;731514.0207;4493995.781
370;2004;100;324;575.87396;90;722.8913158;774475.6027;4508164.003
371;2004;100;333;885.08599;195.00825;711.2418099;769074.7469;4501394.656
372;2004;100;311;849.48159;194.1089;934.3089295;747149.9543;4464244.796
373;2004;100;321;947.32252;83.52018;23.19786041;747269.8918;4500728.628
374;2004;100;324;765.52051;109.34215;217.1927726;735853.5864;4513832.379
375;2004;100;312;978.4798;22.41634;70.54156713;719513.0251;4451873.48
